Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,zipcode,airbnb_record_count,airbnb_price_mean,airbnb_weekly_price_mean,airbnb_monthly_price_mean
Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,3/12/2016,2.0,3067.0,2.0,1.0,1.0,202.0,,,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,4/02/2016,2.0,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,4/03/2017,2.0,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,4/03/2017,2.0,3067.0,3.0,2.0,1.0,94.0,,,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,4/06/2016,2.0,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,7/05/2016,2.0,3067.0,2.0,1.0,0.0,181.0,,,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,8/10/2016,2.0,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,8/10/2016,2.0,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,12/11/2016,2.0,3067.0,2.0,2.0,1.0,0.0,,,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12/11/2016,2.0,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12/11/2016,2.0,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13/08/2016,2.0,3067.0,2.0,1.0,1.0,195.0,,,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15/10/2016,2.0,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16/07/2016,2.0,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16/07/2016,2.0,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,17/09/2016,2.0,3067.0,3.0,1.0,0.0,183.0,,,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17/09/2016,2.0,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,18/03/2017,2.0,3067.0,3.0,2.0,2.0,0.0,,2010.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18/06/2016,2.0,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18/06/2016,2.0,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19/11/2016,2.0,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22/08/2016,2.0,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22/08/2016,2.0,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24/09/2016,2.0,3067.0,4.0,3.0,1.0,0.0,,,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,25/02/2017,2.0,3067.0,3.0,2.0,2.0,147.0,18.0,,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017,2.0,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27/11/2016,2.0,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016,2.0,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28/05/2016,2.0,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30/07/2016,2.0,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-38.0,145.0,Northern Metropolitan,4019.0,,,,,
Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,3/09/2016,14.0,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,3/12/2016,14.0,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
